"Date,Open,High,Low,Close"
"03/2010,5,652.85,6,203.50,5,641.18,6,153.55"
"02/2010,5,587.50,5,743.89,5,433.02,5,598.46"
"01/2010,5,975.52,6,094.26,5,540.33,5,608.79"
"12/2009,5,653.88,6,026.69,5,605.43,5,957.43"
"11/2009,5,410.61,5,843.27,5,312.64,5,625.95"
"10/2009,5,681.88,5,888.21,5,394.80,5,414.96"
"09/2009,5,479.35,5,760.83,5,263.11,5,675.16"
"08/2009,5,330.87,5,575.53,5,158.60,5,464.61"
"07/2009,4,820.61,5,396.95,4,524.01,5,332.14"
"06/2009,4,992.10,5,177.59,4,669.80,4,808.64"
"05/2009,4,790.03,5,060.76,4,653.25,4,940.82"
"04/2009,4,074.79,4,837.22,3,997.46,4,769.45"
"03/2009,3,817.51,4,272.12,3,588.89,4,084.76"
"02/2009,4,309.17,4,688.59,3,764.69,3,843.74"
"01/2009,4,856.85,5,111.02,4,067.43,4,338.35"
"12/2008,4,653.12,4,850.39,4,304.03,4,810.20"
"11/2008,5,053.94,5,302.57,4,034.96,4,669.44"
"10/2008,5,865.08,5,876.93,4,014.60,4,987.97"
"09/2008,6,400.85,6,553.90,5,658.20,5,831.02"
"08/2008,6,461.01,6,626.70,6,219.10,6,422.30"
"07/2008,6,394.08,6,577.10,5,999.32,6,479.56"
"06/2008,7,098.70,7,102.05,6,308.24,6,418.32"
"05/2008,6,982.06,7,231.86,6,905.86,7,096.79"
"04/2008,6,519.02,6,966.47,6,496.94,6,948.82"
"03/2008,6,692.98,6,720.16,6,167.82,6,534.97"
"02/2008,6,896.19,7,079.74,6,655.65,6,748.13"
"01/2008,8,045.97,8,100.64,6,384.40,6,851.75"
"12/2007,7,859.39,8,117.79,7,777.40,8,067.32"
"11/2007,8,024.41,8,038.41,7,444.62,7,870.52"
"10/2007,7,851.29,8,063.83,7,763.64,8,019.22"
"09/2007,7,643.64,7,882.18,7,369.70,7,861.51"
"08/2007,7,472.36,7,659.72,7,190.36,7,638.17"
"07/2007,7,969.27,8,151.57,7,372.89,7,584.14"
"06/2007,7,891.20,8,131.73,7,499.43,8,007.32"
"05/2007,7,429.93,7,895.71,7,304.61,7,883.04"
